"Крошка 1";"Крошка 2";"Крошка 3";Ссылка;Название;Цена;"Ед. изм.";"Изображение 1";"Изображение 2";"Изображение 3";"Изображение 4";"Изображение 5";"Изображение 6";Вес;Габариты;бачок;бензобак;давление;"давление на входе";"давление подачи воздуха";двигатель;диаметр;"диаметр сопла";"диаметр цилиндра";"диапазон давления";длинна;"длинна шланга";"емкость бачка";"емкость бочка";"кол-во скоростей";"макс t";"макс давление";"макс давление краски";"макс давление на выходе";"макс длинна шланга";"макс мощность двигателя";"макс пр-ть насоса";"макс рабочее давление";"макс размер сопла";"макс расстояние";"макс расстояния до пов-ти";"макс расход краски";"макс скорость";"макс сопло";"максимальный расход краски";"масса с бачком";мощность;"мощность двигателя";мощьность;напряжение;"напряжение питания";"номинальная мощьность";объем;"объем бачка";"объем контейнера";"объем рессивера";"объём бачка";"объём ресивера";очистка;"передаточное соотношение";"переход на";"переход с";питание;"подача воздуха";"подача воздуха от компр";"подача воздуха от компрессора";"подача за двоичный ход";производительность;"проходное сечение";"размер сопел";"размер сопла";"размер цилиндра";"расход воздуха";"расход воздх";"резьба на входе воздуха";соединение;сопло;"странд сопло";"угол распыления";"уровень шума";факел;фитинг;"частота вращения";"ширина факела";шланг;Описание
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-f-500-lb75;"Поршневой компрессор Remeza СБ4 Ф 500.LB75";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"5.5 кВт";;;;;;;;;;"500 л";;;;;;;;;;"950 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 Ф 500.LB75
арт.20386
СБ4 Ф 500.LB75 — электрический поршневой воздушный компрессор на 380 В от известного бренда Remeza. Вы можете оставить заявку на это оборудование в нашей компании на страницах сайта pro-kraskopult.ru по доступным ценам.
Модель обладает следующими основными техническими параметрами:
	• двигатель – электрический;
	• напряжение — 380 В;
	• давление — 10 атм;
	• мощность двигателя — 5.5 кВт;
	• привод — ременной;
	• охлаждение — воздушное;
	• страна происхождения — Беларусь.
В магазине компании «ЭнергоПроф» вы можете оформить заказ на поршневой воздушный компрессор Remeza СБ4 Ф 500.LB75 на 380 В с максимальным давлением 10 атм и с официальной гарантией 12 мес.
За профессиональной консультацией обращайтесь по телефону +7 (383) 383-24-67 в Новосибирске. Консультанты нашего магазина ждут вашей заявки.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-s-50-lb30-a;"Поршневой компрессор Remeza СБ4 С 50.LB30 А";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"2.2 кВт";;;;;;;;"50 л";;;;;;;;;;;;"420 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 С 50.LB30 А
арт.21245
СБ4 С 50.LB30 А — воздушный поршневой электрокомпрессор на 220 Вольт от известного производителя Remeza. Вы можете оставить заявку на это устройство на сайте PRO-Краскопульт на страницах сайта pro-kraskopult.ru по разумным ценам.
Модель обладает следующими важными техническими параметрами:
	• тип двигателя – электродвигатель;
	• напряжение — 220 Вольт;
	• давление — 10 атм;
	• мощность электродвигателя — 2.2 кВт;
	• тип привода — ременной;
	• охлаждение — воздушное;
	• страна-производитель — Беларусь.
В магазине PRO-Краскопульт можно оформить заказ на поршневой компрессор Remeza СБ4 С 50.LB30 А на 220 Вольт с максимальным давлением 10 атм и с гарантией от официального дилера 12 мес.
За профессиональной консультацией звоните по телефону. Консультанты компании ждут вашего обращения.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-s-100-lb30-a;"Поршневой компрессор Remeza СБ4 С 100.LB30 A";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм.";;;;;;;;;;;;;;;;"2.2 кВт";;;;;;;;"100 л";;;;;;;;;;;;"420 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 С 100.LB30 A
арт.21688
СБ4 С 100.LB30 A — электрический поршневой воздушный компрессор на 220 В от известного производителя Remeza. Вы можете купить указанное устройство в нашей компании на pro-kraskopult.ru по оптимальным ценам.
Компрессор обладает следующими основными техническими параметрами:
	• тип двигателя – электрический;
	• напряжение — 220 В;
	• давление — 10 атмосфер;
	• мощность электродвигателя — 2.2 киловатт;
	• тип привода — ременной;
	• тип охлаждения — воздушное;
	• страна-производитель — Беларусь.
На нашем сайте можно оформить заказ на воздушный поршневой электрический компрессор Remeza СБ4 С 100.LB30 A на 220 В с максимальным давлением 10 атмосфер и с официальной гарантией 12 мес.
За советом по выбору обращайтесь по телефону. Консультанты интернет-магазина ждут вашего звонка.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-s-100-lb30-3-kvt;"Поршневой компрессор Remeza СБ4 С 100.LB30 3 кВт";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"3 кВт";;;;;;;;"100 л";;;;;;;;;;;;"500 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 С 100.LB30 3 кВт
арт.1796150
СБ4 С 100.LB30 3 кВт — электрический поршневой воздушный компрессор на 380 Вольт от известного производителя Remeza. Вы можете купить данное устройство в нашем магазине в каталоге pro-kraskopult.ru по выгодным ценам.
Модель обладает следующими важными характеристиками:
	• двигатель – электродвигатель;
	• напряжение — 380 Вольт;
	• давление — 10 атмосфер;
	• мощность двигателя — 3 кВт;
	• привод — ременной;
	• охлаждение — воздушное;
	• страна происхождения — Беларусь.
В магазине компании «ПРО-Краскопульт» вы можете купить поршневой воздушный электрический компрессор Remeza СБ4 С 100.LB30 3 кВт на 380 Вольт с максимальным давлением 10 атмосфер и с гарантией от официального дилера 12 мес.
За советом по выбору звоните по телефону. Менеджеры нашей компании ждут вашего звонка.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-s-100-lb40b;"Поршневой компрессор Remeza СБ4 С 100.LB40B";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"3 кВт";;;;;;;;"100 л";;;;;;;;;;;;"530 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 С 100.LB40B
арт.21212
СБ4 С 100.LB40B — воздушный электрический поршневой компрессор на 380 Вольт от зарекомендовавшего себя бренда Remeza. Вы можете оставить заявку на это оборудование в нашей компании на сайте pro-kraskopult.ru по выгодным ценам.
Аппарат обладает следующими важными техническими характеристиками:
	• двигатель – электродвигатель;
	• напряжение — 380 Вольт;
	• давление — 10 атмосфер;
	• мощность электрического двигателя — 3 кВт;
	• привод — ременной;
	• тип охлаждения — воздушное;
	• страна — Беларусь.
В магазине компании «Pro-Kraskopult» вы можете оформить заказ на поршневой компрессор Remeza СБ4 С 100.LB40B на 380 Вольт с максимальным давлением 10 атмосфер и с гарантией 12 мес.
За бесплатной консультацией звоните по телефону. Консультанты нашего магазина ждут вашего звонка.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-s-200-lb40;"Поршневой компрессор Remeza СБ4 С 200.LB40";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"3 кВт";;;;;;;;"200 л";;;;;;;;;;;;"580 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 С 200.LB40
арт.21208
СБ4 С 200.LB40 — поршневой электрокомпрессор на 380 Вольт от известного бренда Remeza. Вы можете купить указанное устройство в нашем магазине на сайте pro-kraskopult.ru по привлекательным ценам.
Аппарат обладает следующими основными техническими параметрами:
	• двигатель – электродвигатель;
	• напряжение — 380 Вольт;
	• давление — 10 атм;
	• мощность электрического двигателя — 3 киловатт;
	• тип привода — ременной;
	• тип охлаждения — воздушное;
	• страна происхождения — Беларусь.
В магазине компании «PRO-Краскопульт» можно купить воздушный поршневой компрессор Remeza СБ4 С 200.LB40 на 380 Вольт с максимальным давлением 10 атм и с гарантией 12 месяцев.
За консультацией звоните по телефону. Консультанты нашей компании ждут вашего обращения.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-s-100-lb50;"Поршневой компрессор Remeza СБ4 С 100.LB50";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"4 кВт";;;;;;;;"100 л";;;;;;;;;;;;"690 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 С 100.LB50
арт.20646
СБ4 С 100.LB50 — воздушный поршневой электрокомпрессор на 380 Вольт от зарекомендовавшего себя бренда Remeza. Вы можете оформить заявку на данное оборудование в нашей компании непосредственно на сайте pro-rkaskopult.ru по выгодным ценам.
Аппарат обладает следующими основными техническими параметрами:
	• тип двигателя – электродвигатель;
	• напряжение — 380 Вольт;
	• максимальное давление — 10 атм;
	• мощность электродвигателя — 4 киловатт;
	• привод — ременной;
	• охлаждение — воздушное;
	• страна-производитель — Беларусь.
В нашем магазине вы можете оформить заказ на поршневой компрессор Remeza СБ4 С 100.LB50 на 380 Вольт с максимальным давлением 10 атм и с гарантией от официального дилера 12 месяцев.
За бесплатной консультацией звоните по телефону. Консультанты интернет-магазина ждут вашего обращения.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-s-100-lb75;"Поршневой компрессор Remeza СБ4 С 100 LB75";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"5.5 кВт";;;;;;;;"100 л";;;;;;;;;;;;"950 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 С 100 LB75
арт.20967
СБ4 С 100 LB75 — поршневой электрокомпрессор на 380 Вольт от известного производителя Remeza. Вы можете купить указанное устройство в нашем магазине на сайте pro-kraskopult.ru по выгодным ценам.
Компрессор обладает следующими основными параметрами:
	• двигатель – электродвигатель;
	• напряжение — 380 Вольт;
	• давление — 10 атмосфер;
	• мощность двигателя — 5.5 кВт;
	• тип привода — ременной;
	• тип охлаждения — воздушное;
	• страна происхождения — Беларусь.
На сайте нашей компании можно оформить заказ на поршневой электрический компрессор Remeza СБ4 С 100 LB75 на 380 Вольт с максимальным давлением 10 атмосфер и с гарантией от официального дилера 12 месяцев.
За профессиональной консультацией обращайтесь по телефону. Специалисты нашего магазина ждут вашего звонка.
"
Компрессоры;Безмасляные;;https://pro-kraskopult.ru/bezmasljanye/porshnevoj-kompressor-remeza-sb4-s-100-old15t;"Поршневой компрессор Remeza СБ4/С-100.OLD15Т";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"8 атм";;;;;;;;;;;;;;;;"2.2 кВт";;;;;;;;"100 л";;;;;;;;;;;;"300 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4/С-100.OLD15Т
СБ4/С-100.OLD15Т — воздушный электрический поршневой компрессор на 220 В от зарекомендовавшего себя бренда Remeza. Вы можете заказать указанное устройство в нашем магазине на сайте pro-kraskopult.ru по привлекательным ценам.
Модель обладает следующими важными техническими характеристиками:
	• двигатель – электрический;
	• напряжение — 220 В;
	• давление — 8 атмосфер;
	• мощность электродвигателя — 2.2 кВт;
	• привод — прямой;
	• тип охлаждения — воздушное;
	• страна — Беларусь.
В компании «PRO-Краскопульт» можно приобрести поршневой электрокомпрессор Remeza СБ4/С-100.OLD15Т на 220 В с максимальным давлением 8 атмосфер и с гарантией 12 месяцев.
За бесплатной консультацией звоните по телефону. Наши консультанты компании ждут вашего обращения.
"
Компрессоры;"Поршневые компрессоры";;https://pro-kraskopult.ru/porshnevye-kompressory/porshnevoj-kompressor-remeza-sb4-f-270-lb50;"Поршневой компрессор Remeza СБ4 Ф 270.LB50";12345678.00;Руб/шт;;;;;;;;-x-x-;;;;;;;;;;;;;;;;;"10 атм";;;;;;;;;;;;;;;;"4 кВт";;;;;;;;"470 л";;;;;;;;;;;;"690 л/мин";;;;;;;;;;;;;;;;;;"Поршневой компрессор Remeza СБ4 Ф 270.LB50
арт.20389
СБ4 Ф 270.LB50 — поршневой электрокомпрессор на 380 Вольт от зарекомендовавшего себя производителя Remeza. Вы можете оставить заявку на это оборудование на сайте pro-kraskopult.ru по оптимальным ценам.
Аппарат обладает следующими основными техническими параметрами:
	• двигатель – электродвигатель;
	• напряжение — 380 Вольт;
	• давление — 10 атм;
	• мощность электрического двигателя — 4 кВт;
	• привод — ременной;
	• тип охлаждения — воздушное;
	• страна происхождения — Беларусь.
На нашем сайте можно оформить заказ на воздушный поршневой компрессор Remeza СБ4 Ф 270.LB50 на 380 Вольт с максимальным давлением 10 атм и с гарантией от официального дилера 12 мес.
За помощью с выбором обращайтесь по телефону. Консультанты нашей компании ждут вашего обращения.
"
